src_ip,dst_ip,src_port,dst_port,protocol,length,flags,timestamp,inter_arrival,label
10.232.95.129,192.168.1.1,21173,123,UDP,1228,,1745324085.90181,,ddos
10.23.228.169,192.168.1.1,15406,80,TCP,40,0x00000002,1745324085.902324,0.0005140304565429688,ddos
10.210.101.91,192.168.1.1,26070,53,UDP,1228,,1745324085.902505,0.00018095970153808594,ddos
10.23.127.232,192.168.1.1,52620,443,TCP,40,0x00000002,1745324085.903022,0.0005171298980712891,ddos
10.142.30.86,192.168.1.1,24791,123,UDP,1228,,1745324085.903386,0.00036406517028808594,ddos
10.31.108.55,192.168.1.1,55998,53,UDP,1228,,1745324085.903861,0.0004749298095703125,ddos
10.160.207.165,192.168.1.1,29969,443,TCP,40,0x00000002,1745324085.904137,0.0002758502960205078,ddos
10.102.190.132,192.168.1.1,41935,80,TCP,40,0x00000002,1745324085.904329,0.00019216537475585938,ddos
10.231.186.74,192.168.1.1,3016,80,TCP,40,0x00000002,1745324085.904493,0.000164031982421875,ddos
10.151.96.180,192.168.1.1,11742,80,TCP,40,0x00000002,1745324085.904675,0.0001819133758544922,ddos
10.26.59.17,192.168.1.1,37741,123,UDP,1228,,1745324085.905206,0.0005309581756591797,ddos
10.73.158.87,192.168.1.1,23907,22,TCP,40,0x00000002,1745324085.905492,0.000286102294921875,ddos
10.185.135.101,192.168.1.1,11676,123,UDP,1228,,1745324085.905657,0.00016498565673828125,ddos
10.163.77.132,192.168.1.1,4492,443,TCP,40,0x00000002,1745324085.905972,0.00031495094299316406,ddos
10.151.14.186,192.168.1.1,62404,53,UDP,1228,,1745324085.906137,0.00016498565673828125,ddos
10.168.206.116,192.168.1.1,34819,123,UDP,1228,,1745324085.906444,0.0003070831298828125,ddos
10.40.126.170,192.168.1.1,16665,123,UDP,1228,,1745324085.906765,0.0003209114074707031,ddos
10.111.12.166,192.168.1.1,27751,123,UDP,1228,,1745324085.907596,0.0008311271667480469,ddos
10.115.116.187,192.168.1.1,33419,80,TCP,40,0x00000002,1745324085.907928,0.000331878662109375,ddos
10.66.52.239,192.168.1.1,16660,443,TCP,40,0x00000002,1745324085.9081,0.00017189979553222656,ddos
10.41.58.2,192.168.1.1,34049,22,TCP,40,0x00000002,1745324085.908481,0.0003809928894042969,ddos
10.249.91.19,192.168.1.1,32268,22,TCP,40,0x00000002,1745324085.908646,0.0001652240753173828,ddos
10.212.152.164,192.168.1.1,64720,53,UDP,1228,,1745324085.908846,0.00019979476928710938,ddos
10.47.196.146,192.168.1.1,54338,80,TCP,40,0x00000002,1745324085.909124,0.0002779960632324219,ddos
10.61.206.239,192.168.1.1,9070,80,TCP,40,0x00000002,1745324085.90945,0.0003261566162109375,ddos
10.75.173.56,192.168.1.1,3214,443,TCP,40,0x00000002,1745324085.909618,0.0001678466796875,ddos
10.140.88.111,192.168.1.1,53252,22,TCP,40,0x00000002,1745324085.909805,0.00018715858459472656,ddos
10.201.209.141,192.168.1.1,31117,123,UDP,1228,,1745324085.909976,0.0001709461212158203,ddos
10.249.210.53,192.168.1.1,49291,443,TCP,40,0x00000002,1745324085.910252,0.0002760887145996094,ddos
10.34.41.117,192.168.1.1,47059,22,TCP,40,0x00000002,1745324085.910457,0.0002048015594482422,ddos
10.152.182.113,192.168.1.1,38046,22,TCP,40,0x00000002,1745324085.910787,0.00033020973205566406,ddos
10.211.239.199,192.168.1.1,35431,123,UDP,1228,,1745324085.911014,0.0002269744873046875,ddos
10.116.5.228,192.168.1.1,13634,123,UDP,1228,,1745324085.911292,0.0002779960632324219,ddos
10.31.209.43,192.168.1.1,4431,80,TCP,40,0x00000002,1745324085.911611,0.0003190040588378906,ddos
10.54.213.22,192.168.1.1,25072,123,UDP,1228,,1745324085.911783,0.00017189979553222656,ddos
10.142.43.71,192.168.1.1,49511,53,UDP,1228,,1745324085.912333,0.0005500316619873047,ddos
10.81.235.128,192.168.1.1,51249,53,UDP,1228,,1745324085.912653,0.0003199577331542969,ddos
10.232.206.244,192.168.1.1,63426,53,UDP,1228,,1745324085.913134,0.0004811286926269531,ddos
10.162.207.95,192.168.1.1,25559,22,TCP,40,0x00000002,1745324085.913442,0.0003077983856201172,ddos
10.63.136.147,192.168.1.1,1643,123,UDP,1228,,1745324085.913791,0.0003490447998046875,ddos
10.125.86.28,192.168.1.1,11962,123,UDP,1228,,1745324085.914102,0.00031113624572753906,ddos
10.91.31.35,192.168.1.1,26795,80,TCP,40,0x00000002,1745324085.914601,0.0004990100860595703,ddos
10.188.241.34,192.168.1.1,30311,80,TCP,40,0x00000002,1745324085.914782,0.00018095970153808594,ddos
10.155.116.94,192.168.1.1,64746,443,TCP,40,0x00000002,1745324085.915345,0.0005629062652587891,ddos
10.245.191.94,192.168.1.1,19020,53,UDP,1228,,1745324085.91556,0.00021505355834960938,ddos
10.212.233.52,192.168.1.1,41459,80,TCP,40,0x00000002,1745324085.915857,0.0002970695495605469,ddos
10.214.28.177,192.168.1.1,64022,53,UDP,1228,,1745324085.916056,0.00019884109497070312,ddos
10.168.201.81,192.168.1.1,3676,53,UDP,1228,,1745324085.916335,0.0002791881561279297,ddos
10.164.183.157,192.168.1.1,2393,22,TCP,40,0x00000002,1745324085.916651,0.0003159046173095703,ddos
10.83.16.214,192.168.1.1,8696,80,TCP,40,0x00000002,1745324085.916824,0.00017309188842773438,ddos
10.126.130.139,192.168.1.1,31253,80,TCP,40,0x00000002,1745324085.91702,0.00019598007202148438,ddos
10.4.144.113,192.168.1.1,8036,53,UDP,1228,,1745324085.917192,0.00017189979553222656,ddos
10.74.249.162,192.168.1.1,35976,123,UDP,1228,,1745324085.918053,0.0008609294891357422,ddos
10.57.215.190,192.168.1.1,54230,80,TCP,40,0x00000002,1745324085.918746,0.0006930828094482422,ddos
10.33.33.44,192.168.1.1,16296,80,TCP,40,0x00000002,1745324085.919315,0.0005691051483154297,ddos
10.95.146.216,192.168.1.1,45573,443,TCP,40,0x00000002,1745324085.920105,0.0007898807525634766,ddos
10.24.75.108,192.168.1.1,45722,443,TCP,40,0x00000002,1745324085.920885,0.0007801055908203125,ddos
10.84.69.231,192.168.1.1,61840,443,TCP,40,0x00000002,1745324085.921118,0.00023293495178222656,ddos
10.46.251.175,192.168.1.1,15502,443,TCP,40,0x00000002,1745324085.921308,0.0001900196075439453,ddos
10.203.211.91,192.168.1.1,23452,22,TCP,40,0x00000002,1745324085.921474,0.0001659393310546875,ddos
10.176.49.180,192.168.1.1,26496,123,UDP,1228,,1745324085.921665,0.00019097328186035156,ddos
10.56.231.183,192.168.1.1,57615,53,UDP,1228,,1745324085.922222,0.00055694580078125,ddos
10.87.97.112,192.168.1.1,5194,80,TCP,40,0x00000002,1745324085.922892,0.0006701946258544922,ddos
10.123.221.141,192.168.1.1,59662,22,TCP,40,0x00000002,1745324085.923305,0.00041294097900390625,ddos
10.163.223.221,192.168.1.1,62778,123,UDP,1228,,1745324085.923687,0.0003819465637207031,ddos
10.99.212.79,192.168.1.1,50385,53,UDP,1228,,1745324085.923991,0.0003039836883544922,ddos
10.231.112.223,192.168.1.1,12544,123,UDP,1228,,1745324085.92447,0.00047898292541503906,ddos
10.5.88.114,192.168.1.1,19216,443,TCP,40,0x00000002,1745324085.924782,0.0003120899200439453,ddos
10.99.52.9,192.168.1.1,2187,443,TCP,40,0x00000002,1745324085.924964,0.0001819133758544922,ddos
10.199.200.171,192.168.1.1,64694,443,TCP,40,0x00000002,1745324085.925133,0.0001690387725830078,ddos
10.150.113.248,192.168.1.1,27734,123,UDP,1228,,1745324085.925508,0.0003750324249267578,ddos
10.186.175.74,192.168.1.1,129,80,TCP,40,0x00000002,1745324085.925997,0.0004889965057373047,ddos
10.140.255.101,192.168.1.1,27406,53,UDP,1228,,1745324085.926935,0.0009379386901855469,ddos
10.175.129.254,192.168.1.1,54011,80,TCP,40,0x00000002,1745324085.927247,0.0003120899200439453,ddos
10.28.243.59,192.168.1.1,62957,80,TCP,40,0x00000002,1745324085.927422,0.00017499923706054688,ddos
10.169.247.65,192.168.1.1,52708,80,TCP,40,0x00000002,1745324085.927586,0.000164031982421875,ddos
10.203.55.160,192.168.1.1,53214,123,UDP,1228,,1745324085.927777,0.00019097328186035156,ddos
10.33.76.16,192.168.1.1,19111,22,TCP,40,0x00000002,1745324085.928066,0.00028896331787109375,ddos
10.139.46.94,192.168.1.1,41672,123,UDP,1228,,1745324085.928253,0.000186920166015625,ddos
10.73.145.195,192.168.1.1,21873,123,UDP,1228,,1745324085.928881,0.0006279945373535156,ddos
10.133.210.158,192.168.1.1,63357,123,UDP,1228,,1745324085.929163,0.00028204917907714844,ddos
10.129.97.117,192.168.1.1,50620,22,TCP,40,0x00000002,1745324085.929635,0.00047206878662109375,ddos
10.234.254.209,192.168.1.1,48493,53,UDP,1228,,1745324085.929846,0.0002110004425048828,ddos
10.88.59.65,192.168.1.1,40972,22,TCP,40,0x00000002,1745324085.930323,0.000476837158203125,ddos
10.138.67.153,192.168.1.1,16843,443,TCP,40,0x00000002,1745324085.930662,0.0003390312194824219,ddos
10.227.77.225,192.168.1.1,61,443,TCP,40,0x00000002,1745324085.930883,0.00022101402282714844,ddos
10.56.170.64,192.168.1.1,34585,53,UDP,1228,,1745324085.931049,0.00016617774963378906,ddos
10.246.155.30,192.168.1.1,31951,123,UDP,1228,,1745324085.931355,0.0003058910369873047,ddos
10.50.143.36,192.168.1.1,4311,443,TCP,40,0x00000002,1745324085.931635,0.0002799034118652344,ddos
10.120.1.173,192.168.1.1,22269,443,TCP,40,0x00000002,1745324085.932403,0.0007681846618652344,ddos
10.40.218.149,192.168.1.1,8484,80,TCP,40,0x00000002,1745324085.932962,0.0005588531494140625,ddos
10.82.56.103,192.168.1.1,1915,123,UDP,1228,,1745324085.933149,0.00018715858459472656,ddos
10.31.155.47,192.168.1.1,22963,53,UDP,1228,,1745324085.933491,0.0003418922424316406,ddos
