src_ip,dst_ip,src_port,dst_port,protocol,length,flags,timestamp,inter_arrival,label
192.168.1.100,192.168.1.1,62802,53,TCP,54,0x00000018,1745324085.666334,,normal
192.168.1.100,192.168.1.1,27081,123,TCP,54,0x00000018,1745324085.66711,0.0007760524749755859,normal
192.168.1.100,192.168.1.1,9773,53,TCP,54,0x00000018,1745324085.66745,0.0003399848937988281,normal
192.168.1.100,192.168.1.1,43858,53,TCP,54,0x00000018,1745324085.667761,0.00031113624572753906,normal
192.168.1.100,192.168.1.1,3028,80,TCP,54,0x00000018,1745324085.668099,0.00033783912658691406,normal
192.168.1.100,192.168.1.1,19807,80,TCP,54,0x00000018,1745324085.668435,0.0003361701965332031,normal
192.168.1.100,192.168.1.1,6151,123,TCP,54,0x00000018,1745324085.668749,0.0003139972686767578,normal
192.168.1.100,192.168.1.1,32850,123,TCP,54,0x00000018,1745324085.669085,0.00033593177795410156,normal
192.168.1.100,192.168.1.1,61230,80,TCP,54,0x00000018,1745324085.669422,0.0003368854522705078,normal
192.168.1.100,192.168.1.1,17586,80,TCP,54,0x00000018,1745324085.669734,0.0003120899200439453,normal
192.168.1.100,192.168.1.1,49115,80,TCP,54,0x00000018,1745324085.670078,0.0003440380096435547,normal
192.168.1.100,192.168.1.1,12314,123,TCP,54,0x00000018,1745324085.670378,0.0002999305725097656,normal
192.168.1.100,192.168.1.1,44430,80,TCP,54,0x00000018,1745324085.670713,0.0003349781036376953,normal
192.168.1.100,192.168.1.1,40704,80,TCP,54,0x00000018,1745324085.671079,0.00036597251892089844,normal
192.168.1.100,192.168.1.1,50091,80,TCP,54,0x00000018,1745324085.671387,0.00030803680419921875,normal
192.168.1.100,192.168.1.1,8562,443,TCP,54,0x00000018,1745324085.671719,0.00033211708068847656,normal
192.168.1.100,192.168.1.1,45926,123,TCP,54,0x00000018,1745324085.672082,0.0003628730773925781,normal
192.168.1.100,192.168.1.1,37233,443,TCP,54,0x00000018,1745324085.672417,0.0003349781036376953,normal
192.168.1.100,192.168.1.1,35478,80,TCP,54,0x00000018,1745324085.672772,0.00035500526428222656,normal
192.168.1.100,192.168.1.1,26096,443,TCP,54,0x00000018,1745324085.673126,0.0003540515899658203,normal
192.168.1.100,192.168.1.1,41090,80,TCP,54,0x00000018,1745324085.673427,0.00030112266540527344,normal
192.168.1.100,192.168.1.1,49186,80,TCP,54,0x00000018,1745324085.673756,0.0003287792205810547,normal
192.168.1.100,192.168.1.1,12239,123,TCP,54,0x00000018,1745324085.674184,0.00042819976806640625,normal
192.168.1.100,192.168.1.1,53019,53,TCP,54,0x00000018,1745324085.674481,0.0002968311309814453,normal
192.168.1.100,192.168.1.1,42511,53,TCP,54,0x00000018,1745324085.674836,0.00035500526428222656,normal
192.168.1.100,192.168.1.1,31293,443,TCP,54,0x00000018,1745324085.675193,0.0003571510314941406,normal
192.168.1.100,192.168.1.1,63117,123,TCP,54,0x00000018,1745324085.675493,0.0002999305725097656,normal
192.168.1.100,192.168.1.1,55624,443,TCP,54,0x00000018,1745324085.675823,0.0003299713134765625,normal
192.168.1.100,192.168.1.1,3806,53,TCP,54,0x00000018,1745324085.676157,0.00033402442932128906,normal
192.168.1.100,192.168.1.1,59137,80,TCP,54,0x00000018,1745324085.676456,0.0002989768981933594,normal
192.168.1.100,192.168.1.1,1838,80,TCP,54,0x00000018,1745324085.676784,0.00032806396484375,normal
192.168.1.100,192.168.1.1,55481,443,TCP,54,0x00000018,1745324085.677116,0.000331878662109375,normal
192.168.1.100,192.168.1.1,53418,80,TCP,54,0x00000018,1745324085.677423,0.0003070831298828125,normal
192.168.1.100,192.168.1.1,25690,123,TCP,54,0x00000018,1745324085.677785,0.0003619194030761719,normal
192.168.1.100,192.168.1.1,65380,123,TCP,54,0x00000018,1745324085.678129,0.0003440380096435547,normal
192.168.1.100,192.168.1.1,25889,53,TCP,54,0x00000018,1745324085.678476,0.000347137451171875,normal
192.168.1.100,192.168.1.1,57085,443,TCP,54,0x00000018,1745324085.680709,0.002232789993286133,normal
192.168.1.100,192.168.1.1,1297,53,TCP,54,0x00000018,1745324085.681044,0.0003352165222167969,normal
192.168.1.100,192.168.1.1,10386,443,TCP,54,0x00000018,1745324085.681717,0.0006728172302246094,normal
192.168.1.100,192.168.1.1,38482,123,TCP,54,0x00000018,1745324085.682251,0.0005340576171875,normal
192.168.1.100,192.168.1.1,5705,123,TCP,54,0x00000018,1745324085.682565,0.0003139972686767578,normal
192.168.1.100,192.168.1.1,27612,53,TCP,54,0x00000018,1745324085.68292,0.00035500526428222656,normal
192.168.1.100,192.168.1.1,34390,443,TCP,54,0x00000018,1745324085.683251,0.00033092498779296875,normal
192.168.1.100,192.168.1.1,14105,80,TCP,54,0x00000018,1745324085.68356,0.000308990478515625,normal
192.168.1.100,192.168.1.1,42860,53,TCP,54,0x00000018,1745324085.683904,0.0003440380096435547,normal
192.168.1.100,192.168.1.1,32084,80,TCP,54,0x00000018,1745324085.684206,0.0003020763397216797,normal
192.168.1.100,192.168.1.1,22130,123,TCP,54,0x00000018,1745324085.684545,0.0003390312194824219,normal
192.168.1.100,192.168.1.1,37615,53,TCP,54,0x00000018,1745324085.685042,0.0004968643188476562,normal
192.168.1.100,192.168.1.1,5989,80,TCP,54,0x00000018,1745324085.685399,0.0003571510314941406,normal
192.168.1.100,192.168.1.1,25614,53,TCP,54,0x00000018,1745324085.685796,0.00039696693420410156,normal
192.168.1.100,192.168.1.1,45299,80,TCP,54,0x00000018,1745324085.686277,0.00048089027404785156,normal
192.168.1.100,192.168.1.1,50966,53,TCP,54,0x00000018,1745324085.686745,0.0004680156707763672,normal
192.168.1.100,192.168.1.1,40898,443,TCP,54,0x00000018,1745324085.687095,0.00034999847412109375,normal
192.168.1.100,192.168.1.1,45067,123,TCP,54,0x00000018,1745324085.687445,0.00034999847412109375,normal
