src_ip,dst_ip,src_port,dst_port,protocol,length,flags,timestamp,inter_arrival,label
10.36.171.154,192.168.1.1,,,,28,,1747755084.821993,,ddos
10.144.50.13,192.168.1.1,,,,28,,1747755084.822548,0.0005548000335693359,ddos
10.47.40.26,192.168.1.1,61225,53,UDP,1228,,1747755084.823065,0.0005171298980712891,ddos
10.141.29.242,192.168.1.1,37328,123,UDP,1228,,1747755084.823534,0.00046896934509277344,ddos
10.191.184.166,192.168.1.1,18963,443,TCP,40,0x00000002,1747755084.823959,0.00042510032653808594,ddos
10.54.56.43,192.168.1.1,46239,80,TCP,40,0x00000002,1747755084.824238,0.0002789497375488281,ddos
10.176.80.109,192.168.1.1,34687,53,UDP,1228,,1747755084.82447,0.0002319812774658203,ddos
10.203.103.6,192.168.1.1,53801,123,UDP,1228,,1747755084.82489,0.00041985511779785156,ddos
10.234.73.70,192.168.1.1,,,,28,,1747755084.82531,0.0004200935363769531,ddos
10.247.109.204,192.168.1.1,28346,123,UDP,1228,,1747755084.825818,0.0005080699920654297,ddos
10.86.4.212,192.168.1.1,37594,80,TCP,40,0x00000002,1747755084.826312,0.0004940032958984375,ddos
10.37.207.19,192.168.1.1,,,,28,,1747755084.826828,0.0005159378051757812,ddos
10.22.178.192,192.168.1.1,8077,53,UDP,1228,,1747755084.827291,0.0004630088806152344,ddos
10.206.112.8,192.168.1.1,40847,443,TCP,40,0x00000002,1747755084.827723,0.00043201446533203125,ddos
10.77.42.176,192.168.1.1,42982,443,TCP,40,0x00000002,1747755084.827995,0.0002720355987548828,ddos
10.158.40.31,192.168.1.1,53351,123,UDP,1228,,1747755084.828221,0.00022602081298828125,ddos
10.184.208.236,192.168.1.1,51593,123,UDP,1228,,1747755084.828643,0.0004220008850097656,ddos
10.128.125.248,192.168.1.1,51385,22,TCP,40,0x00000002,1747755084.829074,0.00043082237243652344,ddos
10.24.10.239,192.168.1.1,,,,28,,1747755084.829354,0.00028014183044433594,ddos
10.144.98.174,192.168.1.1,59195,123,UDP,1228,,1747755084.830062,0.0007078647613525391,ddos
