src_ip,dst_ip,src_port,dst_port,protocol,length,flags,timestamp,inter_arrival,label
10.0.2.15,172.64.41.4,51412,443,TCP,110,0x00000018,1747755019.441826,,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,213,0x00000018,1747755019.441872,4.57763671875e-05,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,110,0x00000018,1747755019.442157,0.00028514862060546875,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442226,6.890296936035156e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442226,0.0,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,213,0x00000018,1747755019.442271,4.506111145019531e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442433,0.0001621246337890625,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442433,0.0,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,110,0x00000018,1747755019.44257,0.00013685226440429688,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,213,0x00000018,1747755019.442588,1.811981201171875e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442903,0.00031495094299316406,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.442903,0.0,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,271,0x00000018,1747755019.44459,0.0016870498657226562,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,60,0x00000010,1747755019.444824,0.0002338886260986328,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,89,0x00000018,1747755019.613862,0.1690380573272705,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,54,0x00000010,1747755019.613913,5.1021575927734375e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,1742,0x00000018,1747755019.613863,-5.0067901611328125e-05,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,54,0x00000010,1747755019.613949,8.606910705566406e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,2974,0x00000018,1747755019.616486,0.0025370121002197266,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.616542,5.602836608886719e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1273,0x00000018,1747755019.616715,0.0001728534698486328,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.616737,2.193450927734375e-05,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,110,0x00000018,1747755019.617751,0.0010139942169189453,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,213,0x00000018,1747755019.6178,4.9114227294921875e-05,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,110,0x00000018,1747755019.618036,0.00023603439331054688,wireshark
10.0.2.15,172.64.41.4,51412,443,TCP,213,0x00000018,1747755019.618057,2.09808349609375e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,5206,0x00000018,1747755019.619251,0.001194000244140625,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.619299,4.792213439941406e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.619252,-4.696846008300781e-05,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.619252,0.0,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.619468,0.00021600723266601562,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,60,0x00000010,1747755019.619468,0.0,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,2630,0x00000018,1747755019.619468,0.0,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.619546,7.796287536621094e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.6203,0.0007541179656982422,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.620336,3.600120544433594e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,3393,0x00000018,1747755019.620479,0.0001430511474609375,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.620506,2.6941299438476562e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.621019,0.0005128383636474609,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.621037,1.811981201171875e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1170,0x00000018,1747755019.621119,8.20159912109375e-05,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.621126,6.9141387939453125e-06,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.6216,0.00047397613525390625,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.62163,3.0040740966796875e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1170,0x00000018,1747755019.621738,0.00010800361633300781,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.621748,1.0013580322265625e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.624447,0.002699136734008789,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.624509,6.198883056640625e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1170,0x00000018,1747755019.624679,0.00016999244689941406,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.62469,1.0967254638671875e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.626535,0.0018448829650878906,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.626567,3.1948089599609375e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,235,0x00000018,1747755019.626667,0.00010013580322265625,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.626676,9.059906005859375e-06,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.627479,0.0008029937744140625,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.627503,2.384185791015625e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,126,0x00000018,1747755019.627568,6.508827209472656e-05,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.627574,5.9604644775390625e-06,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.627974,0.0004000663757324219,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,502,0x00000018,1747755019.628051,7.700920104980469e-05,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.628063,1.1920928955078125e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.629329,0.0012660026550292969,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.629451,0.0001220703125,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.629532,8.106231689453125e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1514,0x00000018,1747755019.630039,0.0005068778991699219,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.630218,0.00017905235290527344,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,504,0x00000018,1747755019.630241,2.288818359375e-05,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.630317,7.605552673339844e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,2974,0x00000018,1747755019.630476,0.0001590251922607422,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.63049,1.4066696166992188e-05,wireshark
142.250.185.174,10.0.2.15,443,37946,TCP,1194,0x00000018,1747755019.671144,0.04065394401550293,wireshark
10.0.2.15,142.250.185.174,37946,443,TCP,54,0x00000010,1747755019.671609,0.0004649162292480469,wireshark
10.0.2.15,142.250.185.246,43262,443,TCP,126,0x00000018,1747755019.703587,0.03197813034057617,wireshark
142.250.185.246,10.0.2.15,443,43262,TCP,60,0x00000010,1747755019.703989,0.0004019737243652344,wireshark
172.64.41.4,10.0.2.15,443,51412,TCP,89,0x00000018,1747755019.713876,0.009886980056762695,wireshark
